"name","date","pollution_total_visitor"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-20","230991.93055555556"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-09","51239.25"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-28","254603.54545454544"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-22","75981.09090909091"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-01","62742.10227272727"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-24","62617.11363636364"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-06","185646.7840909091"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-16","89835.0"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-06","77812.72727272728"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-10","95619.40909090909"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-05","122854.03409090909"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-12","140116.81818181818"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-08","58264.26136363636"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-21","190991.63636363635"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-23","85559.375"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-14","302739.25581395347"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-15","47739.454545454544"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-08","93868.125"
"1297 - Dorćol 2, Beograd, Serbia","2022-03-31","141961.45454545456"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-01","32205.045454545456"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-02","34688.75"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-04","110787.94318181818"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-12","139508.2159090909"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-18","68005.68181818182"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-13","135084.77272727274"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-13","131691.86363636365"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-15","180386.0909090909"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-14","51372.204545454544"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-17","59285.89772727273"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-26","73756.5"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-25","47490.32142857143"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-09","60602.556818181816"
"1297 - Dorćol 2, Beograd, Serbia","2022-03-30","103857.93478260869"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-03","165106.63636363635"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-11","80969.72727272728"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-27","174956.20454545456"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-07","71327.26136363637"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-03","55600.85227272727"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-16","96847.97727272728"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-07","95710.68181818182"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-04","220617.9659090909"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-19","153237.81818181818"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-11","123786.06818181818"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-30","112917.97727272728"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-02","255272.54545454544"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-05","102105.95454545454"
"1297 - Dorćol 2, Beograd, Serbia","2022-04-29","127190.94318181818"
"1297 - Dorćol 2, Beograd, Serbia","2022-05-10","114918.61363636363"
